序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,传感器状态_上位机[9].NO,BOOL[16],,,,,,,
,传感器状态_上位机[9].NO[0],BOOL,,OFF,,,,R10009.0,
,传感器状态_上位机[9].NO[1],BOOL,,OFF,,,,R10009.1,
,传感器状态_上位机[9].NO[2],BOOL,,OFF,,,,R10009.2,
,传感器状态_上位机[9].NO[3],BOOL,,OFF,,,,R10009.3,
,传感器状态_上位机[9].NO[4],BOOL,,OFF,,,,R10009.4,
,传感器状态_上位机[9].NO[5],BOOL,,OFF,,,,R10009.5,
,传感器状态_上位机[9].NO[6],BOOL,,OFF,,,,R10009.6,
,传感器状态_上位机[9].NO[7],BOOL,,OFF,,,,R10009.7,
,传感器状态_上位机[9].NO[8],BOOL,,OFF,,,,R10009.8,
,传感器状态_上位机[9].NO[9],BOOL,,OFF,,,,R10009.9,
,传感器状态_上位机[9].NO[10],BOOL,,OFF,,,,R10009.10,
,传感器状态_上位机[9].NO[11],BOOL,,OFF,,,,R10009.11,
,传感器状态_上位机[9].NO[12],BOOL,,OFF,,,,R10009.12,
,传感器状态_上位机[9].NO[13],BOOL,,OFF,,,,R10009.13,
,传感器状态_上位机[9].NO[14],BOOL,,OFF,,,,R10009.14,
,传感器状态_上位机[9].NO[15],BOOL,,OFF,,,,R10009.15,
2,物料二维码_上位机,INT[30],,...,保持,公有,,R10010,
,物料二维码_上位机[0],INT,,0,,,,R10010,
,物料二维码_上位机[1],INT,,0,,,,R10011,
,物料二维码_上位机[2],INT,,0,,,,R10012,
,物料二维码_上位机[3],INT,,0,,,,R10013,
,物料二维码_上位机[4],INT,,0,,,,R10014,
,物料二维码_上位机[5],INT,,0,,,,R10015,
,物料二维码_上位机[6],INT,,0,,,,R10016,
,物料二维码_上位机[7],INT,,0,,,,R10017,
,物料二维码_上位机[8],INT,,0,,,,R10018,
,物料二维码_上位机[9],INT,,0,,,,R10019,
,物料二维码_上位机[10],INT,,0,,,,R10020,
,物料二维码_上位机[11],INT,,0,,,,R10021,
,物料二维码_上位机[12],INT,,0,,,,R10022,
,物料二维码_上位机[13],INT,,0,,,,R10023,
,物料二维码_上位机[14],INT,,0,,,,R10024,
,物料二维码_上位机[15],INT,,0,,,,R10025,
,物料二维码_上位机[16],INT,,0,,,,R10026,
,物料二维码_上位机[17],INT,,0,,,,R10027,
,物料二维码_上位机[18],INT,,0,,,,R10028,
,物料二维码_上位机[19],INT,,0,,,,R10029,
,物料二维码_上位机[20],INT,,0,,,,R10030,
,物料二维码_上位机[21],INT,,0,,,,R10031,
,物料二维码_上位机[22],INT,,0,,,,R10032,
,物料二维码_上位机[23],INT,,0,,,,R10033,
,物料二维码_上位机[24],INT,,0,,,,R10034,
,物料二维码_上位机[25],INT,,0,,,,R10035,
,物料二维码_上位机[26],INT,,0,,,,R10036,
,物料二维码_上位机[27],INT,,0,,,,R10037,
,物料二维码_上位机[28],INT,,0,,,,R10038,
,物料二维码_上位机[29],INT,,0,,,,R10039,
3,S01取料编号,INT,,0,保持,公有,PC-PLC,R10100,
4,S01入料产品,INT,,0,保持,公有,PC-PLC 1TP盒	2未用烧杯，3未用样品瓶，4液体试剂瓶,R10101,
5,S02取料编号,INT,,0,保持,公有,PC-PLC,R10200,
6,S02放料编号,INT,,0,保持,公有,PC-PLC  机器人夹爪取放料位置号,R10201,
7,S03_1取料编号,INT,,0,保持,公有,PC-PLC  机器人夹爪取放料位置号_烧杯,R10300,
8,S03_1放料编号,INT,,0,保持,公有,PC-PLC  机器人夹爪取放料位置号_烧杯,R10301,
9,S03_2取料编号,INT,,0,保持,公有,PC-PLC  机器人夹爪取放料位置号_样品瓶,R10310,
10,S03_2放料编号,INT,,0,保持,公有,PC-PLC  机器人夹爪取放料位置号_样品瓶,R10311,
11,S041准备信号,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC 设备可以取放料,R10400.0,
12,S041磁搅状态,INT,,0,保持,私有,磁搅工位1_PLC TO PC  1空闲，2Busy,R10401,
13,S041允许加工,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC 放料完成等待参数下发,R10400.1,
14,S041磁搅工艺选择,INT,,0,保持,私有,磁搅工位1_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10402,
15,S041参数写入完成,BOOL,,OFF,保持,公有,磁搅工位1_PC TO PLC ,R10400.2,
16,S041加工完成,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC,R10400.3,
17,S042准备信号,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC 设备可以取放料,R10410.0,
18,S042磁搅状态,INT,,0,保持,私有,磁搅工位2_PLC TO PC  1空闲，2Busy,R10411,
19,S042允许加工,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC 放料完成等待参数下发,R10410.1,
20,S042磁搅工艺选择,INT,,0,保持,私有,磁搅工位2_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10412,
21,S042参数写入完成,BOOL,,OFF,保持,公有,磁搅工位2_PC TO PLC ,R10410.2,
22,S042加工完成,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC,R10410.3,
23,S043准备信号,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC 设备可以取放料,R10420.0,
24,S043磁搅状态,INT,,0,保持,私有,磁搅工位3_PLC TO PC  1空闲，2Busy,R10421,
25,S043允许加工,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC 放料完成等待参数下发,R10420.1,
26,S043磁搅工艺选择,INT,,0,保持,私有,磁搅工位3_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10422,
27,S043参数写入完成,BOOL,,OFF,保持,公有,磁搅工位3_PC TO PLC ,R10420.2,
28,S043加工完成,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC,R10420.3,
29,S044准备信号,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC 设备可以取放料,R10430.0,
30,S044磁搅状态,INT,,0,保持,私有,磁搅工位4_PLC TO PC  1空闲，2Busy,R10431,
31,S044允许加工,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC 放料完成等待参数下发,R10430.1,
32,S044磁搅工艺选择,INT,,0,保持,私有,磁搅工位4_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10432,
33,S044参数写入完成,BOOL,,OFF,保持,公有,磁搅工位4_PC TO PLC ,R10430.2,
34,S044加工完成,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC,R10430.3,
35,S045准备信号,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC 设备可以取放料,R10440.0,
36,S045磁搅状态,INT,,0,保持,私有,磁搅工位5_PLC TO PC  1空闲，2Busy,R10441,
37,S045允许加工,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC 放料完成等待参数下发,R10440.1,
38,S045磁搅工艺选择,INT,,0,保持,私有,磁搅工位5_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10442,
39,S045参数写入完成,BOOL,,OFF,保持,公有,磁搅工位5_PC TO PLC ,R10440.2,
40,S045加工完成,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC,R10440.3,
41,S046准备信号,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC 设备可以取放料,R10450.0,
42,S046磁搅状态,INT,,0,保持,私有,磁搅工位6_PLC TO PC  1空闲，2Busy,R10451,
43,S046允许加工,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC 放料完成等待参数下发,R10450.1,
44,S046磁搅工艺选择,INT,,0,保持,私有,磁搅工位6_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10452,
45,S046参数写入完成,BOOL,,OFF,保持,公有,磁搅工位6_PC TO PLC ,R10450.2,
46,S046加工完成,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC,R10450.3,
47,磁搅温度反馈_上位机,REAL[6],,...,保持,公有,,R10460,
,磁搅温度反馈_上位机[0],REAL,,0.000000,,,,R10460,
,磁搅温度反馈_上位机[1],REAL,,0.000000,,,,R10462,
,磁搅温度反馈_上位机[2],REAL,,0.000000,,,,R10464,
,磁搅温度反馈_上位机[3],REAL,,0.000000,,,,R10466,
,磁搅温度反馈_上位机[4],REAL,,0.000000,,,,R10468,
,磁搅温度反馈_上位机[5],REAL,,0.000000,,,,R10470,
48,磁搅速度设置_上位机,INT[6],,...,保持,公有,,R10480,
,磁搅速度设置_上位机[0],INT,,0,,,,R10480,
,磁搅速度设置_上位机[1],INT,,0,,,,R10481,
,磁搅速度设置_上位机[2],INT,,0,,,,R10482,
,磁搅速度设置_上位机[3],INT,,0,,,,R10483,
,磁搅速度设置_上位机[4],INT,,0,,,,R10484,
,磁搅速度设置_上位机[5],INT,,0,,,,R10485,
49,磁搅温度设置_上位机,INT[6],,...,保持,公有,,R10490,
,磁搅温度设置_上位机[0],INT,,0,,,,R10490,
,磁搅温度设置_上位机[1],INT,,0,,,,R10491,
,磁搅温度设置_上位机[2],INT,,0,,,,R10492,
,磁搅温度设置_上位机[3],INT,,0,,,,R10493,
,磁搅温度设置_上位机[4],INT,,0,,,,R10494,
,磁搅温度设置_上位机[5],INT,,0,,,,R10495,
50,磁搅时间设置_上位机,DINT[6],,...,保持,公有,,R10500,
,磁搅时间设置_上位机[0],DINT,,0,,,,R10500,
,磁搅时间设置_上位机[1],DINT,,0,,,,R10502,
,磁搅时间设置_上位机[2],DINT,,0,,,,R10504,
,磁搅时间设置_上位机[3],DINT,,0,,,,R10506,
,磁搅时间设置_上位机[4],DINT,,0,,,,R10508,
,磁搅时间设置_上位机[5],DINT,,0,,,,R10510,
51,磁搅安全温度设置_上位机,INT[6],,...,保持,公有,,R10520,
,磁搅安全温度设置_上位机[0],INT,,0,,,,R10520,
,磁搅安全温度设置_上位机[1],INT,,0,,,,R10521,
,磁搅安全温度设置_上位机[2],INT,,0,,,,R10522,
,磁搅安全温度设置_上位机[3],INT,,0,,,,R10523,
,磁搅安全温度设置_上位机[4],INT,,0,,,,R10524,
,磁搅安全温度设置_上位机[5],INT,,0,,,,R10525,
52,S05准备信号,BOOL,,OFF,保持,公有,拍照工位机器人可取放料 PLC TO PC,R10530.0,
53,S05拍照结果,INT,,0,保持,公有,拍照1OK	2NG  PLC TO PC,R10531,
54,S05加工完成,BOOL,,OFF,保持,公有,拍照工位完成 PLC TO PC,R10530.1,
55,S06准备信号,BOOL,,OFF,保持,公有,加溶液工位  PLC TO PC,R10540.0,
56,S06允许加工,BOOL,,OFF,保持,公有,加溶液工位  放料完成等待参数下发 PLC TO PC,R10540.1,
57,S06参数写入完成,BOOL,,OFF,保持,公有,加溶液工位  PC TO PLC,R10540.2,
58,S06注射泵选择,INT,,0,保持,公有,加溶液工位参数  PC TO PLC 1-注射泵1 2-注射泵2,R10541,
59,S06注射泵1控制阀,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10542,
60,S06注射泵1绝对位置控制,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10543,
61,S06注射泵1抽液,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10544,
62,S06注射泵1排液,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10545,
63,S06注射泵2控制阀,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10546,
64,S06注射泵2绝对位置控制,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10547,
65,S06注射泵2抽液,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10548,
66,S06注射泵2排液,INT,,0,保持,公有,加溶液工位参数  PC TO PLC,R10549,
67,S06加工完成,BOOL,,OFF,保持,公有,,R10540.3,
68,S08原点信号,BOOL,,OFF,保持,公有,开盖工位-PLC TO PC,R10550.0,
69,S081_1允许加工,BOOL,,OFF,保持,公有,开样品瓶盖工位1- 放料完成等待工艺下发 PLC TO PC,R10550.1,
70,S081_1工艺任务,INT,,0,保持,公有,开样品瓶盖工位1-PC TO PLC 1开瓶盖 2关瓶盖,R10551,
71,S082瓶盖暂存位,INT,,0,保持,公有,取放瓶盖工位 PC TO PLC  1-5,R10552,
72,S081_1参数写入完成,BOOL,,OFF,保持,公有,开样品瓶盖工位1-PC TO PLC,R10550.2,
73,S081_1加工完成,BOOL,,OFF,保持,公有,开样品瓶盖工位1-PLC TO PC,R10550.3,
74,S081_2允许加工,BOOL,,OFF,保持,公有,开样品瓶盖工位2- 放料完成等待工艺下发 PLC TO PC,R10550.4,
75,S081_2工艺任务,INT,,0,保持,公有,开样品瓶盖工位2-PC TO PLC 1开瓶盖 2关瓶盖,R10553,
76,S081_2参数写入完成,BOOL,,OFF,保持,公有,开样品瓶盖工位2-PC TO PLC,R10550.5,
77,S081_2加工完成,BOOL,,OFF,保持,公有,开样品瓶盖工位2-PLC TO PC,R10550.6,
78,S082_1数据缓存,INT[30],,...,保持,私有,放瓶盖工位1二维码数据存放 PC-PLC,R10560,
,S082_1数据缓存[0],INT,,0,,,,R10560,
,S082_1数据缓存[1],INT,,0,,,,R10561,
,S082_1数据缓存[2],INT,,0,,,,R10562,
,S082_1数据缓存[3],INT,,0,,,,R10563,
,S082_1数据缓存[4],INT,,0,,,,R10564,
,S082_1数据缓存[5],INT,,0,,,,R10565,
,S082_1数据缓存[6],INT,,0,,,,R10566,
,S082_1数据缓存[7],INT,,0,,,,R10567,
,S082_1数据缓存[8],INT,,0,,,,R10568,
