Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
真空箱体初始化,Vacuum_Chamber_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|真空箱体初始化
真空箱体初始化完成,Vacuum_Chamber_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|真空箱体初始化完成
工站初始化,Station_Initialize,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|工站初始化
工站初始化完成,Station_Initialize_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|工站初始化完成
机械臂目标位置代码_1,Robotic_Arm_Target_Position_Code_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标位置代码_1
机械臂目标取放代码_1,Robotic_Arm_Target_Pick_Place_Code_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标取放代码_1
机械臂当前位置_1,Robotic_Arm_Current_Position_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前位置_1
机械臂当前动作_1,Robotic_Arm_Current_Action_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前动作_1
机械臂当前目标位置_1,Robotic_Arm_Current_Target_Position_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前目标位置_1
机械臂当前取放料_1,Robotic_Arm_Current_Pick_Place_1,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前取放料_1
机械臂动作触发_1,Robotic_Arm_Action_Trigger_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作触发_1
机械臂动作完成_1,Robotic_Arm_Action_Complete_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作完成_1
机械臂目标取放代码_2,Robotic_Arm_Target_Pick_Place_Code_2,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标取放代码_2
机械臂当前动作_2,Robotic_Arm_Current_Action_2,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前动作_2
机械臂当前取放料_2,Robotic_Arm_Current_Pick_Place_2,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前取放料_2
机械臂动作触发_2,Robotic_Arm_Action_Trigger_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作触发_2
机械臂动作完成_2,Robotic_Arm_Action_Complete_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作完成_2
机械臂目标位置代码_3,Robotic_Arm_Target_Position_Code_3,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标位置代码_3
机械臂目标取放代码_3,Robotic_Arm_Target_Pick_Place_Code_3,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂目标取放代码_3
机械臂当前位置_3,Robotic_Arm_Current_Position_3,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前位置_3
机械臂当前动作_3,Robotic_Arm_Current_Action_3,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前动作_3
机械臂当前目标位置_3,Robotic_Arm_Current_Target_Position_3,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前目标位置_3
机械臂当前取放料_3,Robotic_Arm_Current_Pick_Place_3,VARIABLE,INT16,Chinese,ns=4;s=uniab|机械臂当前取放料_3
机械臂动作触发_3,Robotic_Arm_Action_Trigger_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作触发_3
机械臂动作完成_3,Robotic_Arm_Action_Complete_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|机械臂动作完成_3
小坩埚出料当前位置,Small_Crucible_Discharge_Current_Position,VARIABLE,INT16,Chinese,ns=4;s=uniab|小坩埚出料当前位置
小坩埚出料目标位置代码,Small_Crucible_Discharge_Target_Position_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|小坩埚出料目标位置代码
小坩埚出料动作触发,Small_Crucible_Discharge_Action_Trigger,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料动作触发
小坩埚出料动作完成,Small_Crucible_Discharge_Action_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料动作完成
小坩埚出料当前目标位置,Small_Crucible_Discharge_Current_Target_Position,VARIABLE,INT16,Chinese,ns=4;s=uniab|小坩埚出料当前目标位置
大坩埚入料当前位置,Large_Crucible_Feed_Current_Position,VARIABLE,INT16,Chinese,ns=4;s=uniab|大坩埚入料当前位置
大坩埚入料目标位置代码,Large_Crucible_Feed_Target_Position_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|大坩埚入料目标位置代码
大坩埚入料动作触发,Large_Crucible_Feed_Action_Trigger,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|大坩埚入料动作触发
大坩埚入料动作完成,Large_Crucible_Feed_Action_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|大坩埚入料动作完成
大坩埚入料当前目标位置,Large_Crucible_Feed_Current_Target_Position,VARIABLE,INT16,Chinese,ns=4;s=uniab|大坩埚入料当前目标位置
加珠请求加工,Add_Bead_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠请求加工
加珠开始加工,Add_Bead_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠开始加工
加珠加工完成,Add_Bead_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠加工完成
开罐请求加工,Open_Can_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐请求加工
开罐动作控制代码,Open_Can_Action_Control_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|开罐动作控制代码
开罐开始加工,Open_Can_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐开始加工
开罐加工完成,Open_Can_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐加工完成
加样参数下发,Add_Sample_Parameter_Send,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样参数下发
加样参数下发完成,Add_Sample_Parameter_Send_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样参数下发完成
加样请求加工,Add_Sample_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样请求加工
加样开始加工,Add_Sample_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样开始加工
加样加工完成,Add_Sample_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样加工完成
球磨参数下发,Ball_Mill_Parameter_Send,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨参数下发
球磨参数下发完成,Ball_Mill_Parameter_Send_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨参数下发完成
球磨请求加工,Ball_Mill_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨请求加工
球磨开始加工,Ball_Mill_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨开始加工
球磨加工完成,Ball_Mill_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨加工完成
过筛请求加工,Sieve_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛请求加工
过筛开始加工,Sieve_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛开始加工
过筛加工完成,Sieve_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛加工完成
过筛动作控制代码,Sieve_Action_Control_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|过筛动作控制代码
刮粉请求加工,Scrape_Powder_Request_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉请求加工
刮粉开始加工,Scrape_Powder_Start_Process,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉开始加工
刮粉加工完成,Scrape_Powder_Process_Complete,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉加工完成
刮粉动作控制代码,Scrape_Powder_Action_Control_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|刮粉动作控制代码
马弗炉请求加工_1,Muffle_Furnace_Request_Process_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉请求加工_1
马弗炉请求加工_2,Muffle_Furnace_Request_Process_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉请求加工_2
马弗炉请求加工_3,Muffle_Furnace_Request_Process_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉请求加工_3
马弗炉请求加工_4,Muffle_Furnace_Request_Process_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉请求加工_4
马弗炉请求加工_5,Muffle_Furnace_Request_Process_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉请求加工_5
马弗炉请求加工_6,Muffle_Furnace_Request_Process_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉请求加工_6
马弗炉开始加工_1,Muffle_Furnace_Start_Process_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉开始加工_1
马弗炉开始加工_2,Muffle_Furnace_Start_Process_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉开始加工_2
马弗炉开始加工_3,Muffle_Furnace_Start_Process_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉开始加工_3
马弗炉开始加工_4,Muffle_Furnace_Start_Process_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉开始加工_4
马弗炉开始加工_5,Muffle_Furnace_Start_Process_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉开始加工_5
马弗炉开始加工_6,Muffle_Furnace_Start_Process_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉开始加工_6
马弗炉加工完成_1,Muffle_Furnace_Process_Complete_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉加工完成_1
马弗炉加工完成_2,Muffle_Furnace_Process_Complete_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉加工完成_2
马弗炉加工完成_3,Muffle_Furnace_Process_Complete_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉加工完成_3
马弗炉加工完成_4,Muffle_Furnace_Process_Complete_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉加工完成_4
马弗炉加工完成_5,Muffle_Furnace_Process_Complete_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉加工完成_5
马弗炉加工完成_6,Muffle_Furnace_Process_Complete_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉加工完成_6
马弗炉参数下发_1,Muffle_Furnace_Parameter_Send_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发_1
马弗炉参数下发完成_1,Muffle_Furnace_Parameter_Send_Complete_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发完成_1
马弗炉参数下发_2,Muffle_Furnace_Parameter_Send_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发_2
马弗炉参数下发完成_2,Muffle_Furnace_Parameter_Send_Complete_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发完成_2
马弗炉参数下发_3,Muffle_Furnace_Parameter_Send_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发_3
马弗炉参数下发完成_3,Muffle_Furnace_Parameter_Send_Complete_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发完成_3
马弗炉参数下发_4,Muffle_Furnace_Parameter_Send_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发_4
马弗炉参数下发完成_4,Muffle_Furnace_Parameter_Send_Complete_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发完成_4
马弗炉参数下发_5,Muffle_Furnace_Parameter_Send_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发_5
马弗炉参数下发完成_5,Muffle_Furnace_Parameter_Send_Complete_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发完成_5
马弗炉参数下发_6,Muffle_Furnace_Parameter_Send_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发_6
马弗炉参数下发完成_6,Muffle_Furnace_Parameter_Send_Complete_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉参数下发完成_6
加珠占位,Add_Bead_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加珠占位
开罐占位_上盖,Open_Can_Upper_Lid_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐占位_上盖
开罐占位_罐体,Open_Can_Body_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐占位_罐体
加样占位,Add_Sample_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样占位
球磨占位_1,Ball_Mill_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_1
球磨占位_2,Ball_Mill_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_2
球磨占位_3,Ball_Mill_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_3
球磨占位_4,Ball_Mill_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_4
过筛球磨罐占位,Sieve_Can_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛球磨罐占位
过筛小坩埚占位,Sieve_Crucible_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛小坩埚占位
过筛漏斗占位,Sieve_Funnel_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛漏斗占位
刮粉占位,Scrape_Powder_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉占位
马弗炉占位_1,Muffle_Furnace_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_1
马弗炉占位_2,Muffle_Furnace_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_2
马弗炉占位_3,Muffle_Furnace_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_3
马弗炉占位_4,Muffle_Furnace_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_4
马弗炉占位_5,Muffle_Furnace_Occupied_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_5
马弗炉占位_6,Muffle_Furnace_Occupied_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_6
上成品料架占位,Upper_Product_Rack_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|上成品料架占位
下成品料架占位,Lower_Product_Rack_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|下成品料架占位
加样工艺配方参数选择,Add_Sample_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|加样工艺配方参数选择
球磨工艺配方参数选择,Ball_Mill_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|球磨工艺配方参数选择
过筛工艺配方参数选择,Sieve_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|过筛工艺配方参数选择
刮粉工艺配方参数选择,Scrape_Powder_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|刮粉工艺配方参数选择
马弗炉1工艺配方参数选择,Muffle_Furnace_1_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|马弗炉1工艺配方参数选择
马弗炉2工艺配方参数选择,Muffle_Furnace_2_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|马弗炉2工艺配方参数选择
马弗炉3工艺配方参数选择,Muffle_Furnace_3_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|马弗炉3工艺配方参数选择
马弗炉4工艺配方参数选择,Muffle_Furnace_4_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|马弗炉4工艺配方参数选择
马弗炉5工艺配方参数选择,Muffle_Furnace_5_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|马弗炉5工艺配方参数选择
马弗炉6工艺配方参数选择,Muffle_Furnace_6_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|马弗炉6工艺配方参数选择
错误输出代码,Error_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|错误输出代码
警告输出代码,Warning_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|警告输出代码
系统输出代码,System_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|系统输出代码
信息输出代码,Info_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|信息输出代码
小坩埚出料占位_1,Small_Crucible_Discharge_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_1
小坩埚出料占位_2,Small_Crucible_Discharge_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_2
小坩埚出料占位_3,Small_Crucible_Discharge_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_3
小坩埚出料占位_4,Small_Crucible_Discharge_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_4
